epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.0138,1.63393,2.15653,1.42267,0.56652,0.49288,0.51066,0.28062,1.65126,1.66732,1.40881,0.000655556,0.000655556,0.000655556
2,139.792,1.57728,1.41095,1.37594,0.40208,0.4302,0.36559,0.16723,2.07183,2.26249,1.89016,0.00125677,0.00125677,0.00125677
3,202.563,1.61223,1.32634,1.38275,0.58868,0.55271,0.56469,0.28301,1.69846,1.45455,1.49272,0.00179199,0.00179199,0.00179199
4,258.109,1.55191,1.29891,1.35468,0.57399,0.59259,0.60191,0.3196,1.63885,1.44415,1.45481,0.001703,0.001703,0.001703
5,311.407,1.51875,1.28981,1.33626,0.61051,0.57608,0.57988,0.28455,1.77003,1.52215,1.49591,0.001604,0.001604,0.001604
6,369.767,1.44328,1.18454,1.32375,0.67467,0.58405,0.61834,0.32396,1.63075,1.49534,1.42788,0.001505,0.001505,0.001505
7,427.37,1.42697,1.14527,1.30406,0.73054,0.64672,0.73409,0.45304,1.36999,1.12915,1.24771,0.001406,0.001406,0.001406
8,476.145,1.3912,1.13315,1.28882,0.79378,0.72378,0.77481,0.44657,1.40087,1.12253,1.28113,0.001307,0.001307,0.001307
9,523.928,1.37761,1.09187,1.25787,0.85601,0.7151,0.81118,0.51478,1.31102,0.95356,1.23844,0.001208,0.001208,0.001208
10,573.829,1.34558,1.02833,1.23933,0.82657,0.74683,0.81297,0.4791,1.38313,0.96466,1.24473,0.001109,0.001109,0.001109
11,620.375,1.20703,1.03498,1.19353,0.83792,0.69224,0.79174,0.49642,1.3208,1.09463,1.22887,0.00101,0.00101,0.00101
12,671.239,1.18561,0.9339,1.17517,0.88619,0.70991,0.81142,0.50076,1.26521,0.93284,1.19493,0.000911,0.000911,0.000911
13,724.319,1.13947,0.86565,1.14861,0.81168,0.74644,0.81483,0.51886,1.19962,0.94039,1.20431,0.000812,0.000812,0.000812
14,777.758,1.10968,0.84134,1.14968,0.83875,0.75499,0.84309,0.5365,1.17214,0.90523,1.17282,0.000713,0.000713,0.000713
15,830.505,1.04729,0.77862,1.11202,0.88602,0.77514,0.85959,0.5698,1.15608,0.81224,1.1412,0.000614,0.000614,0.000614
16,882.795,1.0414,0.76275,1.11617,0.85784,0.78917,0.85562,0.57524,1.12063,0.81637,1.13596,0.000515,0.000515,0.000515
17,933.862,1.02332,0.72433,1.10803,0.85553,0.77493,0.86828,0.58177,1.09833,0.79038,1.11491,0.000416,0.000416,0.000416
18,982.757,1.00091,0.69949,1.09818,0.88038,0.76638,0.86182,0.59769,1.06263,0.7645,1.10423,0.000317,0.000317,0.000317
19,1043.93,0.97697,0.68519,1.07896,0.8945,0.77302,0.87049,0.60983,1.05162,0.74922,1.09175,0.000218,0.000218,0.000218
20,1096.25,0.9483,0.66669,1.06303,0.89972,0.79239,0.87639,0.60959,1.04749,0.73324,1.09324,0.000119,0.000119,0.000119
