epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.231,1.58719,2.04175,1.3733,0.75732,0.48701,0.55773,0.31038,1.66569,1.30432,1.29938,0.000551611,0.000551611,0.000551611
2,326.144,1.45419,1.22802,1.29372,0.64766,0.33111,0.38622,0.22003,1.80924,2.14458,1.49354,0.00105247,0.00105247,0.00105247
3,533.408,1.4618,1.19548,1.28613,0.7891,0.52365,0.59155,0.33591,1.56162,1.43759,1.25951,0.00149831,0.00149831,0.00149831
4,669.397,1.40989,1.159,1.27204,0.78228,0.51765,0.59335,0.35779,1.54969,1.29012,1.25221,0.00141945,0.00141945,0.00141945
5,835.392,1.36527,1.08224,1.24582,0.74201,0.57628,0.61876,0.37521,1.4939,1.10454,1.19106,0.00133693,0.00133693,0.00133693
6,1017.36,1.30862,1.00948,1.21571,0.77414,0.56296,0.61334,0.37388,1.43584,1.39336,1.20287,0.00125442,0.00125442,0.00125442
7,1151.45,1.26474,0.9689,1.18562,0.81724,0.56762,0.6475,0.3706,1.52445,1.08891,1.22676,0.0011719,0.0011719,0.0011719
8,1312.95,1.25898,0.95902,1.1899,0.78828,0.59827,0.65645,0.40145,1.34914,1.07101,1.11841,0.00108938,0.00108938,0.00108938
9,1449.17,1.2132,0.92058,1.16652,0.84945,0.63025,0.70131,0.41909,1.36856,0.94708,1.1279,0.00100687,0.00100687,0.00100687
10,1594.86,1.17305,0.8926,1.15215,0.84621,0.62692,0.70025,0.43897,1.31044,0.97994,1.10457,0.000924352,0.000924352,0.000924352
11,1762.81,1.09859,0.8232,1.10667,0.8603,0.61959,0.70182,0.43211,1.33532,0.90271,1.11235,0.000841835,0.000841835,0.000841835
12,1916.52,1.08217,0.76608,1.10059,0.87311,0.65023,0.72067,0.45975,1.28274,0.82631,1.09459,0.000759318,0.000759318,0.000759318
13,2063.2,1.05543,0.73394,1.08985,0.85943,0.6529,0.72424,0.4611,1.27685,0.86005,1.09125,0.000676802,0.000676802,0.000676802
14,2221.8,1.03165,0.68482,1.07584,0.82204,0.64357,0.70965,0.4636,1.23821,0.84545,1.06635,0.000594286,0.000594286,0.000594286
15,2379.36,0.97914,0.66199,1.0614,0.8664,0.64557,0.72283,0.46881,1.22519,0.88317,1.05854,0.000511769,0.000511769,0.000511769
16,2592.48,0.9794,0.64535,1.0489,0.86916,0.65756,0.73381,0.47944,1.22186,0.80279,1.06593,0.000429253,0.000429253,0.000429253
17,2773.87,0.92389,0.60421,1.03178,0.84807,0.67555,0.73247,0.48314,1.21384,0.90242,1.05801,0.000346736,0.000346736,0.000346736
18,2896.28,0.91668,0.58761,1.02291,0.85871,0.67688,0.74757,0.49115,1.18922,0.75312,1.0489,0.00026422,0.00026422,0.00026422
19,3100.12,0.90638,0.5736,1.02364,0.86961,0.67688,0.74978,0.49658,1.17467,0.73267,1.04544,0.000181703,0.000181703,0.000181703
20,3249.69,0.89285,0.55803,1.01115,0.86923,0.68638,0.75512,0.50451,1.17453,0.71076,1.04502,9.91865e-05,9.91865e-05,9.91865e-05
